idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico
22070,4246,2673/2025,SRE/2672/2025,CVM/SRE/AUT/DEB/PRI/2025/679;CVM/SRE/AUT/DEB/PRI/2025/680,Debêntures,PRIMARIA,Registro Concedido,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.,00.389.481/0001-79,BANCO BRADESCO BBI S.A.,06.271.464/0001-19,"1.250.000.000,0000",22/09/2025,OPD Aut Profissional - com bookbuilding,True,True,True
21986,4246,2614/2025,SRE/2612/2025,CVM/SRE/AUT/DEB/PRI/2025/675;CVM/SRE/AUT/DEB/PRI/2025/676,Debêntures,PRIMARIA,Registro Concedido,LOCALIZA  FLEET S.A.,02.286.479/0001-08,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"1.000.000.000,0000",22/09/2025,OPD Aut Profissional - com bookbuilding,True,True,True
21828,4246,2506/2025,SRE/2505/2025,CVM/SRE/AUT/DEB/PRI/2025/674,Debêntures,PRIMARIA,Registro Concedido,WINITY S.A.,34.622.881/0001-02,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"320.000.000,0000",22/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
22032,4246,2652/2025,SRE/2650/2025,CVM/SRE/AUT/DEB/PRI/2025/663,Debêntures,PRIMARIA,Registro Concedido,ENERGISA SA,00.864.214/0001-06,BTG PACTUAL INVESTMENT BANKING LTDA.,46.482.072/0001-13,"3.649.661.000,0000",17/09/2025,OPD Aut Profissional - com bookbuilding - EGEM ou EFRF,False,True,True
21838,4246,2554/2025,SRE/2553/2025,CVM/SRE/AUT/DEB/PRI/2025/661;CVM/SRE/AUT/DEB/PRI/2025/662,Debêntures,PRIMARIA,Oferta Encerrada,ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.,15.413.826/0001-50,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"900.000.000,0000",16/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,True,True,True
21842,4246,2553/2025,SRE/2552/2025,CVM/SRE/AUT/DEB/PRI/2025/659;CVM/SRE/AUT/DEB/PRI/2025/660,Debêntures,PRIMARIA,Oferta Encerrada,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,13.017.462/0001-63,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"590.000.000,0000",16/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,True,True,True
21841,4246,2552/2025,SRE/2551/2025,CVM/SRE/AUT/DEB/PRI/2025/657;CVM/SRE/AUT/DEB/PRI/2025/658,Debêntures,PRIMARIA,Oferta Encerrada,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,03.467.321/0001-99,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"1.000.000.000,0000",16/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,True,True,True
21863,4246,2534/2025,SRE/2533/2025,CVM/SRE/AUT/DEB/PRI/2025/656,Debêntures,PRIMARIA,Oferta Encerrada,CBO HOLDING S.A.,14.882.295/0001-81,BANCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,"522.500.000,0000",15/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21069,4246,1820/2025,SRE/1820/2025,CVM/SRE/AUT/DEB/PRI/2025/655,Debêntures,PRIMARIA,Oferta Encerrada,CPX DISTRIBUIDORA S.A.,10.158.356/0001-01,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"300.000.000,0000",12/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,True,True,True
21567,4246,2276/2025,SRE/2275/2025,CVM/SRE/AUT/DEB/PRI/2025/648;CVM/SRE/AUT/DEB/PRI/2025/649;CVM/SRE/AUT/DEB/PRI/2025/650,Debêntures,PRIMARIA,Oferta Encerrada,QMC TELECOM DO BRASIL CESSÃO DE INFRAESTRUTURA S.A.,13.733.490/0001-87,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"1.600.000.000,0000",11/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
