numeroProcesso,numeroRegistro,nomeValorMobiliario,valorTotalInicial,valorTotalFinal,dataOferta,nomeTipoRequerimento,status,serie_nome,quantidadeAtivos,valorNominal,valorTotalLote,taxaRemuneracao,dataEmissao,dataVencimento,especie,avaliacaoRisco,remuneracaoFinal,amortizacao,incentivado,infraLei14801,resgateAntecipado
SRE/2672/2025,CVM/SRE/AUT/DEB/PRI/2025/679,Debêntures,"1.250.000.000,0000","1.250.000.000,0000",22/09/2025,OPD Aut Profissional - com bookbuilding,Registro Concedido,Debêntures 1ª Série,"1.138.085,0000","1.000,0000","1.138.085.000,0000","CDI + 1,30% a.a.",23/09/2025,23/09/2028,Quirografária,,"CDI + 1,30%a.a.",No vencimento (bullet).,Não,Não,Sim
SRE/2672/2025,CVM/SRE/AUT/DEB/PRI/2025/680,Debêntures,"1.250.000.000,0000","1.250.000.000,0000",22/09/2025,OPD Aut Profissional - com bookbuilding,Registro Concedido,Debêntures 2ª série,"111.915,0000","1.000,0000","111.915.000,0000","CDI + 1,50% a.a.",23/09/2025,23/09/2030,Quirografária,N.A.,"CDI + 1,50%a.a.",No vencimento (bullet).,Não,Não,Sim
SRE/2612/2025,CVM/SRE/AUT/DEB/PRI/2025/675,Debêntures,"1.000.000.000,0000","1.000.000.000,0000",22/09/2025,OPD Aut Profissional - com bookbuilding,Registro Concedido,1ª Série,"600.000,0000","1.000,0000","600.000.000,0000","DI+0,91% a.a.",18/09/2025,18/09/2030,Quirografária,AAA,"DI+0,91% a.a.",Ao final do 4º e 5º ano,Não,Não,Sim
SRE/2612/2025,CVM/SRE/AUT/DEB/PRI/2025/676,Debêntures,"1.000.000.000,0000","1.000.000.000,0000",22/09/2025,OPD Aut Profissional - com bookbuilding,Registro Concedido,2ª Série,"400.000,0000","1.000,0000","400.000.000,0000","DI+1,15% a.a.",18/09/2025,18/09/2032,Quirografária,AAA,"DI+1,15% a.a.","Anual, ao final do 6º e 7º ano",Não,Não,Sim
SRE/2505/2025,CVM/SRE/AUT/DEB/PRI/2025/674,Debêntures,"320.000.000,0000","320.000.000,0000",22/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Registro Concedido,Série Única,"320.000,0000","1.000,0000","320.000.000,0000","IPCA + 8,6044% a.a.",15/08/2025,15/08/2035,Garantia Real,,"IPCA + 8,6044% a.a.",Amortização semestral após 4 anos de carência,Sim,Não,Sim
SRE/2650/2025,CVM/SRE/AUT/DEB/PRI/2025/663,Debêntures,"3.910.000.000,0000","3.649.661.000,0000",17/09/2025,OPD Aut Profissional - com bookbuilding - EGEM ou EFRF,Registro Concedido,série única,"3.649.661,0000","1.000,0000","3.649.661.000,0000","CDI + 0,75% a.a.",15/09/2025,15/09/2032,Quirografária,AAA(bra),,"o Valor Nominal Unitário será amortizado pela Emissora aos
Debenturistas em 2 (duas) parcelas iguais, sendo a primeira em 15 de setembro de 2031 e a
última na Data de Vencimento das Debêntures",Não,Não,Sim
SRE/2553/2025,CVM/SRE/AUT/DEB/PRI/2025/661,Debêntures,"900.000.000,0000","900.000.000,0000",16/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,1ª Série,"540.000,0000","1.000,0000","540.000.000,0000","IPCA + 7,0461% a.a.",15/09/2025,15/09/2035,Quirografária,,"IPCA + 7,0461% a.a.","Em 1 (uma) única parcela, na Data de Vencimento das Debêntures da Primeira Série, conforme descrito na cláusula 4.3.1 da Escritura de Emissão.",Sim,Não,Sim
SRE/2553/2025,CVM/SRE/AUT/DEB/PRI/2025/662,Debêntures,"900.000.000,0000","900.000.000,0000",16/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,2ª Série,"360.000,0000","1.000,0000","360.000.000,0000","IPCA + 6,9467% a.a.",15/09/2025,15/09/2040,Quirografária,,"IPCA + 6,9467% a.a.","Em 3 (três) parcelas anuais e consecutivas, no 13º (décimo terceiro), 14º (décimo quarto) e 15º (décimo quinto) ano contados da Data de Emissão, conforme descrito na cláusula 4.3.1 da Escritura de Emissão.",Sim,Não,Sim
SRE/2552/2025,CVM/SRE/AUT/DEB/PRI/2025/659,Debêntures,"590.000.000,0000","590.000.000,0000",16/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,1ª Série,"350.000,0000","1.000,0000","350.000.000,0000","IPCA + 7,1536% a.a.",15/09/2025,15/09/2035,Quirografária,,"IPCA + 7,1536% a.a.","Em 1 (uma) única parcela, na Data de Vencimento das Debêntures da Primeira Série, conforme descrito na cláusula 4.3.1 da Escritura de Emissão",Sim,Não,Sim
SRE/2552/2025,CVM/SRE/AUT/DEB/PRI/2025/660,Debêntures,"590.000.000,0000","590.000.000,0000",16/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,2ª Série,"240.000,0000","1.000,0000","240.000.000,0000","IPCA + 6,9467% a.a.",15/09/2025,15/09/2040,Quirografária,,"IPCA + 6,9467% a.a.","Em 3 (três) parcelas anuais e consecutivas, no 13º (décimo terceiro), 14º (décimo quarto) e 15º (décimo quinto) ano contados da Data de Emissão, conforme descrito na cláusula 4.3.1 da Escritura de Emissão.",Sim,Não,Sim
SRE/2551/2025,CVM/SRE/AUT/DEB/PRI/2025/657,Debêntures,"1.000.000.000,0000","1.000.000.000,0000",16/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,1ª Série,"550.000,0000","1.000,0000","550.000.000,0000","IPCA + 7,0999% a.a.",15/09/2025,15/09/2035,Quirografária,,"IPCA + 7,0999% a.a.","Em 1 (uma) única parcela, na Data de Vencimento das Debêntures da Primeira Série, conforme descrito na cláusula 4.3.1 da Escritura de Emissão",Sim,Não,Sim
SRE/2551/2025,CVM/SRE/AUT/DEB/PRI/2025/658,Debêntures,"1.000.000.000,0000","1.000.000.000,0000",16/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,2ª Série,"450.000,0000","1.000,0000","450.000.000,0000","IPCA + 6,9467%",15/09/2025,15/09/2040,Quirografária,,,"Em 3 (três) parcelas anuais e consecutivas, no 13º (décimo terceiro), 14º (décimo quarto) e 15º (décimo quinto) ano contados da Data de Emissão, conforme descrito na cláusula 4.3.1 da Escritura de Emissão.",Sim,Não,Sim
