idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico,razaoSocialFundoAssociado
22113,4242,2711/2025,SRE/2710/2025,CVM/SRE/AUT/CRI/PRI/2025/503,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,"7.250.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
21729,4242,2427/2025,SRE/2426/2025,CVM/SRE/AUT/CRA/PRI/2025/167;CVM/SRE/AUT/CRA/PRI/2025/168;CVM/SRE/AUT/CRA/PRI/2025/169;CVM/SRE/AUT/CRA/PRI/2025/170,Certificados de Recebíveis do Agronegócio,PRIMARIA,Registro Concedido,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,XP INVESTIMENTOS CCTVM S.A.,02.332.886/0001-04,"500.000.000,0000",01/09/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,True,True,True,
22110,4242,2710/2025,SRE/2709/2025,CVM/SRE/AUT/FDC/PRI/2025/1380,Cotas de FIDC,PRIMARIA,Registro Concedido,CLASSE ÚNICA - F3 FALCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,58.561.243/0001-89,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22.610.500/0001-88,"50.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,CLASSE ÚNICA - F3 FALCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
22005,4242,2631/2025,SRE/2629/2025,CVM/SRE/AUT/DEB/PRI/2025/626,Debêntures,PRIMARIA,Registro Concedido,GRUPO SALTA EDUCAÇÃO S.A.,17.765.891/0001-70,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"500.000.000,0000",01/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True,
22108,4242,2709/2025,SRE/2708/2025,CVM/SRE/AUT/DEB/PRI/2025/625,Debêntures,PRIMARIA,Registro Concedido,S A USINA CORURIPE ACUCAR E ALCOOL,12.229.415/0001-10,ARCHX CAPITAL,52.183.181/0001-32,"80.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,False,False,True,
22109,4242,2708/2025,SRE/2707/2025,CVM/SRE/AUT/FDC/PRI/2025/1379,Cotas de FIDC,PRIMARIA,Registro Concedido,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECONLOG BANK,42.449.623/0001-96,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,03.751.794/0001-13,"30.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECONLOG BANK
22105,4242,2707/2025,SRE/2706/2025,CVM/SRE/AUT/FDC/PRI/2025/1376;CVM/SRE/AUT/FDC/PRI/2025/1377;CVM/SRE/AUT/FDC/PRI/2025/1378,Cotas de FIDC,PRIMARIA,Registro Concedido,FALCON CONSIGNADO FUNDO DE  INVESTIMENTOS EM DIREITOS CREDITÓRIOS,55.695.976/0001-18,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13.486.793/0001-42,"80.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,FALCON CONSIGNADO FUNDO DE  INVESTIMENTOS EM DIREITOS CREDITÓRIOS
22053,4242,2706/2025,SRE/2705/2025,CVM/SRE/AUT/CRI/PRI/2025/502,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,CIA PROVINCIA DE SECURITIZAÇÃO,04.200.649/0001-07,CIA PROVINCIA DE SECURITIZAÇÃO,04.200.649/0001-07,"18.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
22103,4242,2705/2025,SRE/2704/2025,CVM/SRE/AUT/FDC/PRI/2025/1375,Cotas de FIDC,PRIMARIA,Registro Concedido,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECONLOG BANK,42.449.623/0001-96,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,03.751.794/0001-13,"10.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECONLOG BANK
22102,4242,2704/2025,SRE/2703/2025,CVM/SRE/AUT/CRI/PRI/2025/501,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,"30.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
