Bovespa Fix - Busca de Debêntures

Código;Emissor;Nº Emissão;Nº Série;Agente Fiduciário;Tipo (1);Volume em Milhões(R$);Remuneração;Lei 12.431 - Artigo 1º;Lei 12.431 - Artigo 2º
TIET-DEB43;AES TIETE E;4;3;Otrust;S;301,758;8,433%+PRE;Não;Não;
ALGT-DEB62;ALGAR TELEC;6;2;;S;282,00;;Não;Não;
ANHB-DEB81;Autoban;8;1;Pentagono;S;716,514;5,471% + IPCA;Não;Não;
BESA-DEB11;Baesa;1;1;Pentagono;-;90,00;108% + CDI;Não;Não;
BESA-DEB12;Baesa;1;2;Pentagono;-;90,00;108% + CDI;Não;Não;
BNDP-DEB61;Bndespar;6;1;Pentagono;S;409,00;11,169%;Não;Não;
BNDP-DEB62;Bndespar;6;2;Pentagono;S;302,00;0,550% a.a. (TJ3);Não;Não;
BRML-DEB12;BR Malls Par;1;2;Pavarini;-;320,00;IPCA + 7,9% a.a.;Não;Não;
BRML-DEB21;BR Malls Par;2;1;Pentagono;-;165,75;0,940%;Não;Não;
BISA-DEB22;Brookfield;2;2;Pentagono;-;366,06;9,50% a.a.;Não;Não;
BVLS-DEB11;BV Leasing;1;1;Pavarini;-;1.350,00;DI + 0,50% a.a.;Não;Não;
CMGD-DEB32;Cemig Dist;3;2;GDC Partners DTVM;S;1.095,508;4,700%;Não;Não;
CGAS-DEB33;Comgas;3;3;Pentagono;S;142,465;5,570%;Não;Não;
CGAS-DEB41;Comgas;4;1;Pavarini;S;269,62;7,143%+IPCA;Não;Não;
CGAS-DEB42;Comgas;4;2;Pavarini;S;242,374;7,482%+IPCA;Não;Não;
CGAS-DEB43;Comgas;4;3;Pavarini;S;79,90;7,357%+IPCA;Não;Sim;
CGAS-DEB51;Comgas;5;1;;S;675,00;5,868% + IPCA;Não;Não;
CSMG-DEB2A;COPASA;12;1;;S;187,385;5,064%+IPCA;Não;Não;
CSMG-DEB2B;COPASA;12;2;;S;80,615;5,274%+IPCA;Não;Não;
CSRN-DEB71;COSERN;7;1;Pavarini;S;271,438;4,641% do IPCA;Não;Não;
CSRN-DEB72;COSERN;7;2;Pavarini;S;98,562;4,910% do IPCA;Não;Não;
CTBC-DEB22;CTBC Telecom;2;2;Pentagono;-;232,60;6,000%;Não;Não;
CTBC-DEB61;CTBC Telecom;6;1;Pentagono;-;150,00;1,400% + CDI;Não;Não;
CTBC-DEB62;CTBC Telecom;6;2;Pentagono;-;282,00;6,8734% + IPCA;Não;Não;
DTEX-DCA11;Duratex;1;1;Pavarini;-;100,00;6,000%;Não;Não;
EBEN-DEB41;EBE;4;1;SLW;-;390,00;DI + 1,50%;Não;Não;
ECOV-DEB21;Ecovias;2;1;Pentagono;S;200,00;3,800%;Não;Não;
ECOV-DEB22;Ecovias;2;2;Pentagono;S;681,00;4,280%;Não;Não;
ENBR-DEB42;Energias BR;4;2;Pentagono;S;179,887;8,8201% + IPCA;Não;Não;
